NAME                             READY   STATUS             RESTARTS         AGE    IP           NODE               NOMINATED NODE   READINESS GATES
cast-db-7d9f9c6bc7-cwcsz         1/1     Running            0                3h3m   10.42.3.47   ip-172-31-40-117   <none>           <none>
cast-service-687d568c59-k4q4x    0/1     CrashLoopBackOff   40 (4m56s ago)   3h3m   10.42.3.50   ip-172-31-40-117   <none>           <none>
cast-service-687d568c59-k9dp8    0/1     CrashLoopBackOff   40 (3m40s ago)   3h3m   10.42.3.48   ip-172-31-40-117   <none>           <none>
cast-service-687d568c59-rcs76    0/1     CrashLoopBackOff   40 (3m26s ago)   3h3m   10.42.3.49   ip-172-31-40-117   <none>           <none>
movie-db-876cb9d89-vqswx         1/1     Running            0                3h3m   10.42.3.51   ip-172-31-40-117   <none>           <none>
movie-service-5f8f6bc6bf-qjbts   0/1     CrashLoopBackOff   40 (3m35s ago)   3h3m   10.42.3.52   ip-172-31-40-117   <none>           <none>
movie-service-5f8f6bc6bf-sbzr5   0/1     CrashLoopBackOff   40 (3m33s ago)   3h3m   10.42.3.53   ip-172-31-40-117   <none>           <none>
movie-service-5f8f6bc6bf-zz4bl   0/1     CrashLoopBackOff   40 (3m51s ago)   3h3m   10.42.3.54   ip-172-31-40-117   <none>           <none>
